type salida.txt | findstr /C:"NULL"Changed database context to 'WideWorldImporters'.
CategoriaCliente                                   NombreCliente                                                                                        MontoMasAlto                             MontoMasBajo                             MontoPromedio                           
Novelty Shop                                       Drazenka Jelic                                                                                                                       23093.15                                   104.65                              3194.004803
Novelty Shop                                       Eva Schulteisz                                                                                                                       22304.25                                   204.24                              2694.326386
Novelty Shop                                       Hanita Nookala                                                                                                                       19954.80                                    93.15                              2539.502380
Novelty Shop                                       Hee-Young Suh                                                                                                                        14573.95                                    36.80                              2624.457870
Novelty Shop                                       Ida Celma                                                                                                                            20575.80                                    44.85                              3328.221698
Novelty Shop                                       Isidora Morales                                                                                                                      19509.75                                   138.00                              2855.056637
Novelty Shop                                       Isidora Urias                                                                                                                        13730.02                                    84.47                              2825.366320
Novelty Shop                                       Ivan Sepulveda                                                                                                                       23115.00                                    36.80                              2837.992393
Novelty Shop                                       Jana Fialova                                                                                                                         14382.94                                   120.75                              2847.320655
Novelty Shop                                       Johanna Hoornstra                                                                                                                    18705.21                                    13.80                              2355.103146
Novelty Shop                                       Juan Morse                                                                                                                           24358.15                                   119.60                              2671.086842
Novelty Shop                                       Krishnam Allu                                                                                                                        26309.70                                    29.90                              2712.451186
Novelty Shop                                       Kumar Kamei                                                                                                                          22886.15                                   140.30                              3244.901111
Novelty Shop                                       Kumar Naicker                                                                                                                        17872.15                                   118.45                              2822.278660
Novelty Shop                                       Laura Sykorova                                                                                                                       17417.90                                    79.24                              2771.363592
Novelty Shop                                       Leila Carvalho                                                                                                                       16931.45                                   104.65                              3143.897047
Novelty Shop                                       Leyla Asef zade                                                                                                                      16033.30                                    44.85                              2386.811652
Novelty Shop                                       Libuse Valentova                                                                                                                     23028.75                                    55.20                              2926.422032
Novelty Shop                                       Liia Orav                                                                                                                            13499.85                                   179.40                              2915.336966
Novelty Shop                                       Ludmila Smidova                                                                                                                      14435.95                                   109.83                              2776.218407
Novelty Shop                                       Marie LeBatelier                                                                                                                     17932.87                                    87.40                              2900.933114
Novelty Shop                                       Matyas Sedlar                                                                                                                        15446.80                                   134.55                              2458.846213
Novelty Shop                                       Mauno Laurila                                                                                                                        25819.46                                    29.90                              3689.780521
Novelty Shop                                       Narendra Tickoo                                                                                                                      18742.70                                    74.75                              2653.119574
Novelty Shop                                       Neil Farrelly                                                                                                                        17376.44                                   202.40                              3030.181730
Novelty Shop                                       Nguyen Banh                                                                                                                          12782.25                                    44.85                              2738.290851
Novelty Shop                                       Om Yadav                                                                                                                             19684.55                                    83.72                              2737.716296
Novelty Shop                                       Pari Hosseini                                                                                                                        15341.00                                    28.75                              2773.755555
Novelty Shop                                       Philip Walker                                                                                                                        29423.90                                   119.60                              3014.734695
Novelty Shop                                       Prabodh Nair                                                                                                                         15494.01                                   154.10                              2817.389769
Novelty Shop                                       Raghu Sandhu                                                                                                                         18063.05                                   184.00                              3036.221238
Novelty Shop                                       Ratan Poddar                                                                                                                         18009.00                                    78.20                              2914.926238
Novelty Shop                                       Rodrigo Figueiredo                                                                                                                   20341.20                                   100.63                              2693.655142
Novelty Shop                                       Shi Tu                                                                                                                               19516.42                                    97.75                              2964.579819
Novelty Shop                                       Som Mukherjee                                                                                                                        28626.38                                   100.63                              2769.828695
Novelty Shop                                       Sumati Bhat                                                                                                                          17528.30                                    89.70                              3049.272920
Novelty Shop                                       Surendra Sahu                                                                                                                        14134.88                                   118.45                              2692.123486
Novelty Shop                                       Tai Bach                                                                                                                             14584.30                                   110.40                              2783.148214
Novelty Shop                                       Tailspin Toys (Absecon, NJ)                                                                                                          20351.55                                    36.80                              2909.605533
Novelty Shop                                       Tailspin Toys (Aceitunas, PR)                                                                                                        14204.11                                    14.95                              2653.255922
Novelty Shop                                       Tailspin Toys (Airport Drive, MO)                                                                                                    15391.60                                   134.55                              2974.114682
Novelty Shop                                       Tailspin Toys (Alstead, NH)                                                                                                          13078.95                                    73.60                              2581.408351
Novelty Shop                                       Tailspin Toys (Amanda Park, WA)                                                                                                      11976.10                                   149.50                              2716.319238
Novelty Shop                                       Tailspin Toys (Andrix, CO)                                                                                                           15353.65                                   134.55                              2800.968703
Novelty Shop                                       Tailspin Toys (Annamoriah, WV)                                                                                                       16470.30                                   104.65                              3052.626788
Novelty Shop                                       Tailspin Toys (Antares, AZ)                                                                                                          13823.00                                   102.12                              2973.710091
Novelty Shop                                       Tailspin Toys (Antonito, CO)                                                                                                         13118.05                                   179.40                              2558.125825
Novelty Shop                                       Tailspin Toys (Arbor Vitae, WI)                                                                                                      28916.75                                    36.80                              2920.114857
Novelty Shop                                       Tailspin Toys (Arietta, NY)                                                                                                          25247.55                                   228.85                              2812.473474
Novelty Shop                                       Tailspin Toys (Armstrong Creek, WI)                                                                                                  18602.40                                   102.12                              2880.815630
Novelty Shop                                       Tailspin Toys (Arrow Rock, MO)                                                                                                       13920.88                                    74.75                              2290.287217
Novelty Shop                                       Tailspin Toys (Ashtabula, OH)                                                                                                        23899.30                                    44.85                              2494.273030
Novelty Shop                                       Tailspin Toys (Aspen Park, CO)                                                                                                       14294.50                                    78.20                              2668.741061
Novelty Shop                                       Tailspin Toys (Astor Park, FL)                                                                                                       13829.90                                    36.80                              2619.966513
Novelty Shop                                       Tailspin Toys (Avenal, CA)                                                                                                           17363.85                                   137.43                              2676.310252
Novelty Shop                                       Tailspin Toys (Baraboo, WI)                                                                                                          16182.80                                   102.12                              2764.302577
Novelty Shop                                       Tailspin Toys (Batson, TX)                                                                                                           22262.85                                    88.55                              2990.882894
Novelty Shop                                       Tailspin Toys (Belgreen, AL)                                                                                                         16676.15                                    74.75                              3272.360380
Novelty Shop                                       Tailspin Toys (Bernie, MO)                                                                                                           18282.70                                   120.75                              2670.540660
Novelty Shop                                       Tailspin Toys (Bethania, NC)                                                                                                         17836.50                                    89.70                              3052.974049
Novelty Shop                                       Tailspin Toys (Big Moose, NY)                                                                                                        21862.65                                    86.25                              3259.502966
Novelty Shop                                       Tailspin Toys (Biscay, MN)                                                                                                           19418.90                                    74.75                              2936.747171
Novelty Shop                                       Tailspin Toys (Bow Mar, CO)                                                                                                          12623.55                                    73.60                              2573.266310
Novelty Shop                                       Tailspin Toys (Bowlus, MN)                                                                                                           26242.43                                   149.50                              3122.511238
Novelty Shop                                       Tailspin Toys (Boyden Arbor, SC)                                                                                                     16144.85                                   105.80                              2912.479553
Novelty Shop                                       Tailspin Toys (Bratenahl, OH)                                                                                                        15014.86                                   100.74                              2669.259805
Novelty Shop                                       Tailspin Toys (Brown City, MI)                                                                                                       24790.32                                    29.90                              3346.336454
Novelty Shop                                       Tailspin Toys (Buell, MO)                                                                                                            20272.20                                   156.40                              3236.264583
Novelty Shop                                       Tailspin Toys (Carbonville, UT)                                                                                                      25689.85                                    44.85                              3154.295660
Novelty Shop                                       Tailspin Toys (Caselton, NV)                                                                                                         15875.75                                    75.90                              2466.592413
Novelty Shop                                       Tailspin Toys (Cherry Grove Beach, SC)                                                                                               22112.20                                    59.80                              2588.890740
Novelty Shop                                       Tailspin Toys (Cheyenne Wells, CO)                                                                                                   17848.00                                   128.80                              3246.903017
Novelty Shop                                       Tailspin Toys (Clewiston, FL)                                                                                                        20010.00                                   139.15                              2981.611000
Novelty Shop                                       Tailspin Toys (Cokato, MN)                                                                                                           24598.96                                   143.75                              3072.670111
Novelty Shop                                       Tailspin Toys (College Place, WA)                                                                                                    13238.51                                   128.11                              2689.001770
Novelty Shop                                       Tailspin Toys (Coney Island, MO)                                                                                                     25185.58                                    30.19                              2633.636744
Novelty Shop                                       Tailspin Toys (Corfu, NY)                                                                                                            12539.60                                    36.80                              2440.882288
Novelty Shop                                       Tailspin Toys (Cortaro, AZ)                                                                                                          12367.10                                    14.95                              2941.693584
Novelty Shop                                       Tailspin Toys (Crary, ND)                                                                                                            16822.20                                    56.35                              2931.354375
Novelty Shop                                       Tailspin Toys (Cundiyo, NM)                                                                                                          27249.25                                    44.85                              2969.827207
Novelty Shop                                       Tailspin Toys (Dahlia, NM)                                                                                                           12911.63                                   126.50                              2612.088454
Novelty Shop                                       Tailspin Toys (Dallardsville, TX)                                                                                                    14120.51                                   115.00                              2651.860190
Novelty Shop                                       Tailspin Toys (Devault, PA)                                                                                                          20762.79                                   141.45                              3234.724495
Novelty Shop                                       Tailspin Toys (Diablock, KY)                                                                                                         17051.05                                   118.45                              3030.131882
Novelty Shop                                       Tailspin Toys (Donner, LA)                                                                                                           14968.40                                   167.90                              2667.048076
Novelty Shop                                       Tailspin Toys (Dracut, MA)                                                                                                           15768.80                                    63.83                              2563.824285
Novelty Shop                                       Tailspin Toys (Dundarrach, NC)                                                                                                       10938.80                                    49.45                              2325.229803
Novelty Shop                                       Tailspin Toys (East Dailey, WV)                                                                                                      14977.54                                    14.95                              2704.952000
Novelty Shop                                       Tailspin Toys (East Fultonham, OH)                                                                                                   19417.75                                   119.60                              2775.329322
Novelty Shop                                       Tailspin Toys (East Portal, CO)                                                                                                      14048.40                                   129.95                              2868.256818
Novelty Shop                                       Tailspin Toys (Eastchester, NY)                                                                                                      22059.30                                   192.05                              3267.003333
Novelty Shop                                       Tailspin Toys (Eden Valley, MN)                                                                                                      17536.35                                    74.75                              2660.451400
Novelty Shop                                       Tailspin Toys (Edgartown, MA)                                                                                                        14181.80                                    78.20                              2589.752818
Novelty Shop                                       Tailspin Toys (Ekron, KY)                                                                                                            11296.22                                    33.93                              2187.302072
Novelty Shop                                       Tailspin Toys (El Centro, CA)                                                                                                        18771.45                                    44.85                              2912.798220
Novelty Shop                                       Tailspin Toys (Elrosa, MN)                                                                                                           20800.05                                    89.70                              2916.806261
Novelty Shop                                       Tailspin Toys (Eulaton, AL)                                                                                                          16956.75                                    89.70                              2659.246603
Novelty Shop                                       Tailspin Toys (Fairfield Glade, TN)                                                                                                  13110.00                                   104.65                              2342.892211
Novelty Shop                                       Tailspin Toys (Fieldbrook, CA)                                                                                                       24005.10                                    54.05                              3042.174692
Novelty Shop                                       Tailspin Toys (Fishtail, MT)                                                                                                         13825.30                                    74.75                              2759.411979
Novelty Shop                                       Tailspin Toys (Francis Mills, NJ)                                                                                                    22580.25                                   126.50                              2547.609347
Novelty Shop                                       Tailspin Toys (Frankewing, TN)                                                                                                       20554.18                                    90.28                              2900.993333
Novelty Shop                                       Tailspin Toys (Furley, KS)                                                                                                           18874.95                                    89.70                              2871.104193
Novelty Shop                                       Tailspin Toys (Gardere, LA)                                                                                                          15295.00                                    81.65                              2610.023278
Novelty Shop                                       Tailspin Toys (Gasport, NY)                                                                                                          15388.15                                    29.90                              2505.227033
Novelty Shop                                       Tailspin Toys (Glen Avon, CA)                                                                                                        24293.75                                   147.20                              2737.413474
Novelty Shop                                       Tailspin Toys (Glen Park, NY)                                                                                                        18497.06                                    29.90                              2930.342477
Novelty Shop                                       Tailspin Toys (Goffstown, NH)                                                                                                        17003.90                                    74.75                              3035.441111
Novelty Shop                                       Tailspin Toys (Good Hart, MI)                                                                                                        33966.40                                    78.78                              3254.668416
Novelty Shop                                       Tailspin Toys (Great Neck Estates, NY)                                                                                               15427.25                                    90.56                              2717.666736
Novelty Shop                                       Tailspin Toys (Guin, AL)                                                                                                             20327.98                                    89.70                              3063.242649
Novelty Shop                                       Tailspin Toys (Gum Branch, GA)                                                                                                       20013.68                                    72.45                              3056.215446
Novelty Shop                                       Tailspin Toys (Hahira, GA)                                                                                                           17504.15                                    64.40                              2400.176637
Novelty Shop                                       Tailspin Toys (Hambleton, WV)                                                                                                        23961.40                                    34.50                              2999.916886
Novelty Shop                                       Tailspin Toys (Hanoverton, OH)                                                                                                       21380.51                                   104.65                              2729.871052
Novelty Shop                                       Tailspin Toys (Hardeeville, SC)                                                                                                      17274.15                                    74.75                              2847.829158
Novelty Shop                                       Tailspin Toys (Hayes Center, NE)                                                                                                     16188.32                                    49.45                              3464.058380
Novelty Shop                                       Tailspin Toys (Head Office)                                                                                                          23156.98                                    96.60                              2856.081951
Novelty Shop                                       Tailspin Toys (Hedrick, IA)                                                                                                          22550.35                                   148.35                              2778.016016
Novelty Shop                                       Tailspin Toys (Heilwood, PA)                                                                                                         11864.55                                   131.68                              2455.131607
Novelty Shop                                       Tailspin Toys (Hiteman, IA)                                                                                                          13812.65                                    73.60                              2501.994807
Novelty Shop                                       Tailspin Toys (Hodgdon, ME)                                                                                                          17944.83                                   140.30                              2832.579449
Novelty Shop                                       Tailspin Toys (Hollywood Park, TX)                                                                                                   13314.70                                    59.80                              2710.986200
Novelty Shop                                       Tailspin Toys (Howells, NE)                                                                                                          21415.01                                    14.95                              3205.193369
Novelty Shop                                       Tailspin Toys (Idria, CA)                                                                                                            14534.85                                   123.05                              2644.067739
Novelty Shop                                       Tailspin Toys (Ikatan, AK)                                                                                                           11588.55                                   102.35                              2412.057403
Novelty Shop                                       Tailspin Toys (Imlaystown, NJ)                                                                                                       26931.16                                    29.90                              2562.162982
Novelty Shop                                       Tailspin Toys (Impact, TX)                                                                                                           24312.15                                    59.80                              3730.692727
Novelty Shop                                       Tailspin Toys (Indios, PR)                                                                                                           16755.50                                   119.60                              3182.655094
Novelty Shop                                       Tailspin Toys (Inguadona, MN)                                                                                                        17965.30                                    36.80                              3481.665158
Novelty Shop                                       Tailspin Toys (Jemison, AL)                                                                                                          15780.30                                    29.90                              2826.309400
Novelty Shop                                       Tailspin Toys (Jessie, ND)                                                                                                           13550.45                                   147.20                              2683.702000
Novelty Shop                                       Tailspin Toys (Kalvesta, KS)                                                                                                         21084.33                                    69.00                              2746.601440
Novelty Shop                                       Tailspin Toys (Kerby, OR)                                                                                                            22353.70                                   119.60                              3061.365789
Novelty Shop                                       Tailspin Toys (King Cove, AK)                                                                                                        20796.60                                   120.75                              3011.871121
Novelty Shop                                       Tailspin Toys (Knifley, KY)                                                                                                          15189.66                                    64.40                              2619.690909
Novelty Shop                                       Tailspin Toys (Koontzville, WA)                                                                                                      17821.55                                    29.90                              2821.904754
Novelty Shop                                       Tailspin Toys (Kwethluk, AK)                                                                                                         17673.20                                   104.65                              2430.173015
Novelty Shop                                       Tailspin Toys (La Cueva, NM)                                                                                                         12777.65                                    45.14                              2981.698857
Novelty Shop                                       Tailspin Toys (Lake Erie Beach, NY)                                                                                                  17420.20                                    44.85                              3027.527416
Novelty Shop                                       Tailspin Toys (Lake Hughes, CA)                                                                                                      12215.30                                    29.90                              2608.949615
Novelty Shop                                       Tailspin Toys (Lake Stevens, WA)                                                                                                     19866.25                                   100.63                              2873.807589
Novelty Shop                                       Tailspin Toys (Lakemore, OH)                                                                                                         12666.10                                   124.89                              2573.231515
Novelty Shop                                       Tailspin Toys (Larose, LA)                                                                                                           22552.08                                    74.75                              2937.599814
Novelty Shop                                       Tailspin Toys (Lavon, TX)                                                                                                            14860.76                                    43.70                              2967.428021
Novelty Shop                                       Tailspin Toys (Lemeta, AK)                                                                                                           15099.50                                    44.85                              2493.445922
Novelty Shop                                       Tailspin Toys (Lesslie, SC)                                                                                                          16298.95                                    29.90                              2899.426279
Novelty Shop                                       Tailspin Toys (Long Meadow, MD)                                                                                                      22933.53                                    74.75                              3546.445982
Novelty Shop                                       Tailspin Toys (Lytle Creek, CA)                                                                                                      18311.45                                    29.90                              2787.553181
Novelty Shop                                       Tailspin Toys (Madaket, MA)                                                                                                          10620.25                                    88.55                              2383.070769
Novelty Shop                                       Tailspin Toys (Madrone, NM)                                                                                                          21103.65                                    43.64                              2911.150370
Novelty Shop                                       Tailspin Toys (Magalia, CA)                                                                                                          14911.36                                    89.70                              2341.540000
Novelty Shop                                       Tailspin Toys (Malott, WA)                                                                                                           19654.65                                    74.75                              3209.956545
Novelty Shop                                       Tailspin Toys (Manahawkin, NJ)                                                                                                       21531.45                                   102.12                              2764.876194
Novelty Shop                                       Tailspin Toys (Manchester Center, VT)                                                                                                16756.65                                    51.75                              2729.422750
Novelty Shop                                       Tailspin Toys (Maple Shade, NJ)                                                                                                      20166.40                                    91.14                              2732.470327
Novelty Shop                                       Tailspin Toys (Mappsburg, VA)                                                                                                        20327.40                                    73.60                              2847.866132
Novelty Shop                                       Tailspin Toys (Marcell, MN)                                                                                                          17405.94                                    35.42                              3204.075779
Novelty Shop                                       Tailspin Toys (Maypearl, TX)                                                                                                         24106.30                                    29.90                              2893.319777
Novelty Shop                                       Tailspin Toys (McCamey, TX)                                                                                                          23673.90                                   109.25                              2979.655826
Novelty Shop                                       Tailspin Toys (McClave, CO)                                                                                                          13356.10                                   113.39                              2825.874873
Novelty Shop                                       Tailspin Toys (Medicine Lodge, KS)                                                                                                   31401.90                                   138.00                              3371.916666
Novelty Shop                                       Tailspin Toys (Mineral Hills, MI)                                                                                                    24726.15                                    89.70                              3019.728529
Novelty Shop                                       Tailspin Toys (Minidoka, ID)                                                                                                         17838.80                                    14.95                              3419.564560
